id,title,company_name,company_location,url,salary,salary_min,salary_max,avg_salary
14,Python Developer,QuantGrade,"Remote in Noida, Uttar Pradesh",https://in.indeed.com/viewjob?&t=Python+Developer&jk=866975dcfbad1b50&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3, 300000 , 300000 , 300000 ,300000.0
15,Associate Multi-Skill Software Developer - .Net & Cloud,BOEING,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?&t=Python+Developer&jk=9cce6b2f8b23ffb4&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3,12000,12000,12000,12000.0
16,QA Engineer - Performance Testing,Talent500 Tech (India) Private Limited,"Kochi, Kerala",https://in.indeed.com/viewjob?&t=Python+Developer&jk=a162ce120269dc8a&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3,1500000 - 3300000 ,1500000 , 3300000 ,2400000.0
17,Computer Science - online tutor/expert,Chegg India,Remote in India,https://in.indeed.com/viewjob?&t=Python+Developer&jk=e0cbf6ec8c839ce0&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3,10000,10000,10000,10000.0
18,"Senior Manager, Principal Software Engineer - Document Generation",Bristol Myers Squibb,"Hyderabad, Telangana",https://in.indeed.com/viewjob?&t=Python+Developer&jk=bd59d0dc3ea4fc0c&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3,12000,12000,12000,12000.0
19,Python Developer Intern,Igsrs,Remote in Remote,https://in.indeed.com/viewjob?&t=Python+Developer&jk=93169148359a7702&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3,7000 - 9000 ,7000 , 9000 ,8000.0
20,Freelance Software Developer,seikor,Remote in Remote,https://in.indeed.com/viewjob?&t=Python+Developer&jk=830db7299c0159d1&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3,53000 - 90000 ,53000 , 90000 ,71500.0
21,Python Senior Developer,Infosys,"Indore, Madhya Pradesh",https://in.indeed.com/viewjob?&t=Python+Developer&jk=c54d3f882074facf&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3,12000,12000,12000,12000.0
22,Full Stack Developer-Trainee,Wipro,Remote,https://in.indeed.com/viewjob?&t=Python+Developer&jk=83010b55d2d600fc&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3,22000 - 53500 ,22000 , 53500 ,37750.0
23,Python Developer,QuantGrade,"Remote in Noida, Uttar Pradesh",https://in.indeed.com/viewjob?&t=Python+Developer&jk=866975dcfbad1b50&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3, 300000 , 300000 , 300000 ,300000.0
24,Python Developer,Infiniticube Services Pvt Ltd,Remote in Remote,https://in.indeed.com/viewjob?&t=Python+Developer&jk=84c0c493e417c331&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3,15000 - 30000 ,15000 , 30000 ,22500.0
25,"JavaScript, Python and Linux Developer",Infosys,"Thiruvananthapuram, Kerala",https://in.indeed.com/viewjob?&t=Python+Developer&jk=383c6f992ed693ca&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3,12000,12000,12000,12000.0
26,Junior Python Developer,Wisdomleaf Technologies (P) Limited,India,https://in.indeed.com/viewjob?&t=Python+Developer&jk=298089e9a99c56f2&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3,300000 - 400000 ,300000 , 400000 ,350000.0
27,Senior Python Developer,Project 42 Labs,Remote in Remote,https://in.indeed.com/viewjob?&t=Python+Developer&jk=8f1cbe6581fc86c5&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3, 900000 , 900000 , 900000 ,900000.0
28,"DevOps Engineering Database Operations Specialist II, Technical Solutions",Bristol Myers Squibb,"Hyderabad, Telangana",https://in.indeed.com/viewjob?&t=Python+Developer&jk=9ff9579083feda6a&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3,12000,12000,12000,12000.0
29,Junior Python Developer,Websodev,"Patna, Bihar",https://in.indeed.com/viewjob?&t=Python+Developer&jk=a5b9762a0e61d68f&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3,13500 - 25000 ,13500 , 25000 ,19250.0
30,Data Engineer III,Indeed,"Hyderabad, Telangana",https://in.indeed.com/viewjob?&t=Python+Developer&jk=5d8a5ec3c615e23b&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3,5360000 - 8040000 ,5360000 , 8040000 ,6700000.0
31,Computer Science - online tutor/expert,Chegg India,Remote in India,https://in.indeed.com/viewjob?&t=Python+Developer&jk=e0cbf6ec8c839ce0&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3,10000,10000,10000,10000.0
32,Associate Multi-Skill Software Developer (Cloud and DevSecOps),BOEING,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?&t=Python+Developer&jk=56262ddea0d3c515&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3,12000,12000,12000,12000.0
33,Associate Multi-Skill Software Developer - .Net & Cloud,BOEING,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?&t=Python+Developer&jk=9cce6b2f8b23ffb4&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3,12000,12000,12000,12000.0
34,Experienced Multi-Skill Software Developer (Cloud and DevSecOps),BOEING,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?&t=Python+Developer&jk=c3fc58a597994ce3&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3,12000,12000,12000,12000.0
35,Experienced Multi-Skill Software Developer (Java & Cloud),BOEING,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?&t=Python+Developer&jk=7fb78b09733903a6&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3,12000,12000,12000,12000.0
36,Experienced Test Automation Engineer,BOEING,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?&t=Python+Developer&jk=44f34fce59ff9bde&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3,12000,12000,12000,12000.0
37,Full Stack Developer-Trainee,Wipro,Remote,https://in.indeed.com/viewjob?&t=Python+Developer&jk=83010b55d2d600fc&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3,22000 - 53500 ,22000 , 53500 ,37750.0
38,Python Developer Intern,Igsrs,Remote,https://in.indeed.com/viewjob?&t=Python+Developer&jk=93169148359a7702&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3,7000 - 9000 ,7000 , 9000 ,8000.0
